ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,raw_economic_impact,cooperation_percentage,priority_ok,scarcity_color,scenario_color,scenario_name,station_color
0.6677248677248677,0.07432148104909024,0.0,0.0,low,0.yml,1,661.0,139.55266283786062,0.9676285714285714,1.0,yellow,blue,0,green
0.6814814814814815,-0.369146388786214,0.0,0.25,low,0.yml,1,674.0,-693.1422894824957,0.9523142857142857,1.0,yellow,blue,0,green
0.691005291005291,-0.4772216951528003,0.0,0.5,low,0.yml,1,683.0,-896.0741549079537,0.9514571428571429,1.0,yellow,blue,0,green
0.6867724867724868,-0.9108705294925545,0.25,0.0,low,0.yml,1,679.0,-1710.3320076097168,0.9396285714285715,1.0,yellow,blue,0,green
0.6888888888888889,-0.5965061774393835,0.25,0.25,low,0.yml,1,681.0,-1120.0533719977357,0.9426,1.0,yellow,blue,0,green
0.6867724867724868,-0.5060328063752587,0.25,0.5,low,0.yml,1,679.0,-950.1724752543439,0.9448857142857143,1.0,yellow,blue,0,green
0.6592592592592592,-0.5914249418033104,-0.25,0.0,low,0.yml,1,653.0,-1110.5123893166688,0.9427428571428571,1.0,yellow,blue,0,green
0.6656084656084656,-0.8249398167927968,-0.25,0.25,low,0.yml,1,659.0,-1548.9808126720704,0.9360857142857143,0.0,yellow,blue,0,green
0.6730158730158731,-0.8800016156547373,-0.25,0.5,low,0.yml,1,666.0,-1652.369772947917,0.9406285714285715,0.0,yellow,blue,0,green
0.6814814814814815,-0.33704663868920204,0.5,0.0,low,0.yml,1,674.0,-632.8689265296092,0.954,1.0,yellow,blue,0,green
0.6835978835978836,-0.5563380117248811,0.5,0.25,low,0.yml,1,676.0,-1044.6300299485008,0.9512,1.0,yellow,blue,0,green
0.6804232804232804,-0.5088391111552376,0.5,0.5,low,0.yml,1,673.0,-955.4418442073387,0.9508857142857143,1.0,yellow,blue,0,green
0.671957671957672,-1.122891870584484,-0.5,0.0,low,0.yml,1,665.0,-2108.4422485545892,0.9312571428571429,1.0,yellow,blue,0,green
0.6666666666666666,-1.3272554124082945,-0.5,0.25,low,0.yml,1,660.0,-2492.173520401174,0.9248857142857143,1.0,yellow,blue,0,green
0.6751322751322751,-1.4644960133516587,-0.5,0.5,low,0.yml,1,668.0,-2749.8687525301507,0.9262285714285714,1.0,yellow,blue,0,green
0.674074074074074,-0.011512392567748535,0.0,0.0,low,1.yml,1,667.0,-47.237437531317866,0.9359142857142857,1.0,yellow,red,1,green
0.6730158730158731,0.004319160622152987,0.0,0.25,low,1.yml,1,666.0,17.7223004580516,0.9443428571428572,1.0,yellow,red,1,green
0.6751322751322751,-0.1755322250733896,0.0,0.5,low,1.yml,1,668.0,-720.2405988018756,0.9149142857142857,1.0,yellow,red,1,green
0.674074074074074,-0.13336418092182886,0.25,0.0,low,1.yml,1,667.0,-547.2174552889056,0.9345714285714286,1.0,yellow,red,1,green
0.68994708994709,-0.2834953614288714,0.25,0.25,low,1.yml,1,682.0,-1163.2329550184606,0.9189428571428572,1.0,yellow,red,1,green
0.6708994708994709,-0.024003247613974803,0.25,0.5,low,1.yml,1,664.0,-98.48968431551977,0.9356571428571429,1.0,yellow,red,1,green
0.6708994708994709,0.07859186848277254,-0.25,0.0,low,1.yml,1,664.0,322.47670986523366,0.9512857142857143,1.0,yellow,red,1,green
0.6793650793650794,-0.19307131827697474,-0.25,0.25,low,1.yml,1,672.0,-792.2066835826646,0.9280285714285714,1.0,yellow,red,1,green
0.6730158730158731,0.06400835909387302,-0.25,0.5,low,1.yml,1,666.0,262.63792225513976,0.9356857142857142,1.0,yellow,red,1,green
0.6804232804232804,-0.3375000686549973,0.5,0.0,low,1.yml,1,673.0,-1384.8240768446803,0.9169714285714285,1.0,yellow,red,1,green
0.6857142857142857,-0.14076599164062473,0.5,0.25,low,1.yml,1,678.0,-577.5884289496951,0.9298,1.0,yellow,red,1,green
0.6814814814814815,-0.28278087177060857,0.5,0.5,low,1.yml,1,674.0,-1160.301274188403,0.9216857142857143,1.0,yellow,red,1,green
0.7142857142857143,-0.4516755582736872,-0.5,0.0,low,1.yml,1,705.0,-1853.3068467581866,0.9106571428571428,0.0,yellow,red,1,green
0.6666666666666666,-0.38130578027522233,-0.5,0.25,low,1.yml,1,660.0,-1564.5668674069368,0.9126857142857143,0.0,yellow,red,1,green
